ICPR_STATE_CODE,COUNTY_NAME,IDENTIFICATION_NUMBER,pres_democratic_vote_24,pres_republican_vote_24,pres_progressive_vote_24,pres_total_vote_24,pres_democratic_vote_28,pres_republican_vote_28,pres_prohibition_vote_28,pres_socialist_vote_28,pres_total_vote_28
24,ADAMS,10,3762,4315,149,8226,3000,5665,18,2,8685
24,ALLEN,30,7378,15711,2283,25437,9462,20693,46,94,30337
24,ASHLAND,50,4377,5777,802,10966,3256,8745,62,22,12097
24,ASHTABULA,70,2135,14767,4370,21337,5951,18870,73,133,25118
24,ATHENS,90,2669,8695,3501,14943,4546,11101,30,136,15855
24,AUGLAIZE,110,3952,5507,1143,10618,4954,7794,21,20,12798
24,BELMONT,130,8074,16378,5386,30035,12807,20969,115,249,34468
24,BROWN,150,4120,3616,660,8399,3422,5681,35,13,9155
24,BUTLER,170,11612,19349,3339,34398,15663,29124,40,153,45042
24,CARROLL,190,1430,4369,364,6173,1321,5572,21,21,6937
24,CHAMPAIGN,210,3575,6181,478,10245,3296,7651,34,20,11006
24,CLARK,230,8415,20340,1816,30615,10316,26666,61,104,37183
24,CLERMONT,250,4544,6867,1019,12445,4194,9732,28,26,13983
24,CLINTON,270,2496,5954,421,8876,2603,7150,27,13,9797
24,COLUMBIANA,290,4685,20483,4036,29272,7461,26405,65,136,34158
24,COSHOCTON,310,4415,5837,1456,11729,3745,9154,27,23,12970
24,CRAWFORD,330,4384,5896,4140,14440,5472,11235,24,44,16793
24,CUYAHOGA,350,24000,130169,109287,264066,166188,194508,166,2006,364108
24,DARKE,370,7315,9166,811,17320,5822,11765,112,27,17734
24,DEFIANCE,390,3227,4841,1134,9213,3487,6289,0,0,9776
24,DELAWARE,410,3537,6731,866,11142,3720,8049,86,21,11880
24,ERIE,430,2968,7689,3462,14151,7570,10380,4,33,17996
24,FAIRFIELD,450,5890,8281,1200,15393,5619,12072,48,38,17788
24,FAYETTE,470,2696,4542,293,7536,2752,5251,26,17,8050
24,FRANKLIN,490,26505,61891,18743,107295,47084,92019,139,367,139712
24,FULTON,510,1333,4951,832,7118,1788,6416,31,12,8253
24,GALLIA,530,2284,4325,453,7066,1916,5513,42,30,7509
24,GEAUGA,550,635,3375,642,4662,1180,4161,8,23,5378
